"","participant","organism","condition","acceleration","trial.num","raw.points","rectangles.cleared","deaths","log.block","block","switch.type","varied","experiment","switch.faster","switch.slower"
"226","A19DZAFFZEU6GN","human","MMMMM",0.4,34,475,19,0,1.6094379124341,5,0,-1,1,0,0
"227","A19DZAFFZEU6GN","human","MMMMM",0.4,35,450,18,0,1.6094379124341,5,0,-1,1,0,0
"228","A19DZAFFZEU6GN","human","MMMMM",0.4,36,525,21,0,1.6094379124341,5,0,-1,1,0,0
"229","A19DZAFFZEU6GN","human","MMMMM",0.4,37,550,22,0,1.6094379124341,5,0,-1,1,0,0
"230","A19DZAFFZEU6GN","human","MMMMM",0.4,38,550,22,0,1.6094379124341,5,0,-1,1,0,0
"231","A19DZAFFZEU6GN","human","MMMMM",0.4,39,525,21,0,1.6094379124341,5,0,-1,1,0,0
"232","A19DZAFFZEU6GN","human","MMMMM",0.4,22,650,26,0,1.09861228866811,3,0,-1,1,0,0
"233","A19DZAFFZEU6GN","human","MMMMM",0.4,40,525,21,0,1.6094379124341,5,0,-1,1,0,0
"234","A19DZAFFZEU6GN","human","MMMMM",0.4,23,550,26,1,1.09861228866811,3,0,-1,1,0,0
"235","A19DZAFFZEU6GN","human","MMMMM",0.4,24,575,27,1,1.09861228866811,3,0,-1,1,0,0
